episode,avg_steps,avg_reward,epsilon,loss,action_counts
100,107.28,-190.30956599425141,0.9714123788790612,2.6278,"{0: 0.25, 1: 0.25, 2: 0.25, 3: 0.25}"
200,95.36,-145.278306021956,0.9436420098394763,2.3078,"{0: 0.24, 1: 0.25, 2: 0.26, 3: 0.25}"
300,94.48,-128.72382324139377,0.9166655295883842,3.3958,"{0: 0.23, 1: 0.26, 2: 0.26, 3: 0.26}"
400,96.8,-125.92457546131223,0.8904602427338869,0.9363,"{0: 0.23, 1: 0.25, 2: 0.27, 3: 0.26}"
500,102.08,-108.76148377743131,0.8650041026913518,2.7170,"{0: 0.21, 1: 0.25, 2: 0.28, 3: 0.26}"
600,98.56,-108.58311418566818,0.8402756931355533,4.3734,"{0: 0.21, 1: 0.25, 2: 0.3, 3: 0.25}"
700,99.76,-104.85875562541261,0.8162542099830596,4.7681,"{0: 0.21, 1: 0.26, 2: 0.28, 3: 0.25}"
800,101.2,-87.632926287487,0.7929194438896925,0.9607,"{0: 0.21, 1: 0.25, 2: 0.29, 3: 0.26}"
900,104.0,-89.46194070638485,0.7702517632483481,0.8552,"{0: 0.2, 1: 0.25, 2: 0.3, 3: 0.25}"
1000,102.0,-80.80872541074363,0.7482320976728688,5.7430,"{0: 0.2, 1: 0.25, 2: 0.31, 3: 0.24}"
1100,106.8,-79.35794527004826,0.7268419219540723,3.0624,"{0: 0.2, 1: 0.23, 2: 0.33, 3: 0.23}"
1200,105.52,-71.04000521392722,0.7060632404744341,1.8793,"{0: 0.18, 1: 0.25, 2: 0.33, 3: 0.24}"
1300,101.36,-66.06094840231718,0.6858785720683285,6.0196,"{0: 0.17, 1: 0.23, 2: 0.33, 3: 0.26}"
1400,104.72,-68.76119306326503,0.6662709353150682,0.7551,"{0: 0.18, 1: 0.24, 2: 0.34, 3: 0.24}"
1500,112.32,-53.03555494367876,0.6472238342523872,0.9808,"{0: 0.16, 1: 0.22, 2: 0.4, 3: 0.23}"
1600,104.56,-62.03929516761114,0.6287212444983387,2.0652,"{0: 0.17, 1: 0.24, 2: 0.34, 3: 0.24}"
1700,110.56,-44.866721341472086,0.6107475997699349,3.1424,"{0: 0.16, 1: 0.24, 2: 0.37, 3: 0.23}"
1800,122.48,-39.85476923993703,0.5932877787871891,1.9906,"{0: 0.16, 1: 0.23, 2: 0.4, 3: 0.22}"
1900,108.16,-48.367109176594866,0.5763270925515378,3.4264,"{0: 0.17, 1: 0.24, 2: 0.36, 3: 0.23}"
2000,121.2,-32.16467482290096,0.5598512719879419,1.9866,"{0: 0.18, 1: 0.22, 2: 0.38, 3: 0.23}"
2100,136.8,-38.132984981929475,0.5438464559402747,1.1668,"{0: 0.16, 1: 0.21, 2: 0.44, 3: 0.2}"
2200,174.4,-14.187264176962634,0.5282991795098884,6.4397,"{0: 0.15, 1: 0.25, 2: 0.39, 3: 0.2}"
2300,158.72,-31.587776088427198,0.5131963627275569,3.3763,"{0: 0.2, 1: 0.2, 2: 0.42, 3: 0.18}"
2400,161.92,-18.966137020941265,0.498525299549258,7.3709,"{0: 0.16, 1: 0.18, 2: 0.45, 3: 0.2}"
2500,160.72,-23.11619654992858,0.4842736471665414,2.1723,"{0: 0.18, 1: 0.23, 2: 0.36, 3: 0.24}"
2600,186.96,-17.895299089300877,0.470429415622489,3.8963,"{0: 0.16, 1: 0.2, 2: 0.46, 3: 0.19}"
2700,162.16,-0.795567159932565,0.45698095772452846,2.5646,"{0: 0.16, 1: 0.22, 2: 0.43, 3: 0.2}"
2800,163.2,-1.6778771443720273,0.44391695924561564,2.2235,"{0: 0.18, 1: 0.21, 2: 0.41, 3: 0.2}"
2900,138.96,-15.24294925913424,0.4312264294055426,6.0187,"{0: 0.18, 1: 0.22, 2: 0.4, 3: 0.21}"
3000,179.6,9.710807995360152,0.41889869162436144,1.3503,"{0: 0.19, 1: 0.2, 2: 0.41, 3: 0.2}"
3100,154.48,-9.069268681429795,0.40692337454014677,3.7085,"{0: 0.19, 1: 0.23, 2: 0.39, 3: 0.19}"
3200,216.24,7.79026692190754,0.3952904032835391,2.1669,"{0: 0.2, 1: 0.2, 2: 0.41, 3: 0.19}"
3300,181.28,11.93917952754196,0.3839899910017262,1.5448,"{0: 0.2, 1: 0.2, 2: 0.41, 3: 0.19}"
3400,232.48,14.60991037463687,0.3730126306247362,2.3734,"{0: 0.14, 1: 0.21, 2: 0.45, 3: 0.2}"
3500,309.2,49.38177260353891,0.36234908686711154,2.4209,"{0: 0.18, 1: 0.18, 2: 0.46, 3: 0.19}"
3600,217.36,5.5214287492907195,0.3519903884582363,2.5309,"{0: 0.27, 1: 0.19, 2: 0.35, 3: 0.19}"
3700,238.32,0.09851302840163811,0.34192782059478016,2.3817,"{0: 0.16, 1: 0.28, 2: 0.38, 3: 0.18}"
3800,139.44,1.3559573574902186,0.33215291760890825,4.3304,"{0: 0.23, 1: 0.21, 2: 0.38, 3: 0.18}"
3901,170.2970297029703,7.346406082337493,0.322563885183895,2.3593,"{0: 0.18, 1: 0.28, 2: 0.39, 3: 0.16}"
4001,201.12,10.61352001297112,0.3133425510469598,1.6454,"{0: 0.14, 1: 0.22, 2: 0.42, 3: 0.21}"
4101,334.72,48.786609561304914,0.30438483291656093,1.4445,"{0: 0.32, 1: 0.18, 2: 0.33, 3: 0.17}"
4202,436.35643564356434,57.00444969388967,0.29559744651173686,0.7503,"{0: 0.37, 1: 0.15, 2: 0.3, 3: 0.17}"
4302,498.72,98.23815366660543,0.2871470187065424,0.8862,"{0: 0.19, 1: 0.16, 2: 0.45, 3: 0.21}"
